bac,mention,filière,type_etu,domaine_etu,type_lieu_etu,pays_bac,tranche_age,genre,Niveau_etu,type_cours,satisfact_formation,Col_specialite1,Col_specialite2,Col_matière_prefere1,Col_matière_prefere2,Col_domaine_activite_pro1
LITTÉRAIRE (ÉQUIVALENT),BIEN,HISTOIRE,LONGUES (>= MASTER),SCIENCES HUMAINES ET SOCIALES,UNIVERSITÉ,FRANCE,18-21,MASCULIN,LICENCE,PRÉSENTIEL,NON,HISTOIRE-GÉOGRAPHIE ( HGGSP ),LANGUES,HISTOIRE-GÉOGRAPHIE ( HGGSP ),LANGUES ÉTRANGÈRES,NON RENSEIGNÉ
SCIENTIFIQUE (ÉQUIVALENT),TRÈS-BIEN,HISTOIRE,LONGUES (>= MASTER),SCIENCES HUMAINES ET SOCIALES,UNIVERSITÉ,FRANCE,12-17,MASCULIN,LICENCE,PRÉSENTIEL,OUI,HISTOIRE-GÉOGRAPHIE ( HGGSP ),PAS DE SPÉ,HISTOIRE-GÉOGRAPHIE ( HGGSP ),NON RENSEIGNÉ,ENSEIGNEMENT
SCIENTIFIQUE (ÉQUIVALENT),PASSABLE,CHIMIE,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,DUT,FRANCE,12-17,MASCULIN,LICENCE,PRÉSENTIEL,NON,PHYSIQUE-CHIMIE (PC),SCIENCES DE L'INGÉNIEUR,PHYSIQUE-CHIMIE (PC),NON RENSEIGNÉ,PROCÉDÉ
SCIENTIFIQUE (ÉQUIVALENT),BIEN,INFORMATIQUE,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,CLASSE PRÉPARATOIRE,FRANCE,18-21,FÉMININ,INGÉNIEUR,PRÉSENTIEL,OUI,PHYSIQUE-CHIMIE (PC),PAS DE SPÉ,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),DÉVELOPPEMENT DE LOGICIELS
LITTÉRAIRE (ÉQUIVALENT),ASSEZ-BIEN,SCIENCES POLITIQUES,LONGUES (>= MASTER),DROIT ET SCIENCES POLITIQUES,UNIVERSITÉ,FRANCE,18-21,FÉMININ,LICENCE,PRÉSENTIEL,OUI,SCIENCES ÉCONOMIQUES ET SOCIALES,HISTOIRE-GÉOGRAPHIE ( HGGSP ),LANGUES ÉTRANGÈRES,HISTOIRE-GÉOGRAPHIE ( HGGSP ),NON RENSEIGNÉ
ECONOMIE ET SOCIALE (ÉQUIVALENT),TRÈS-BIEN,SCIENCES POLITIQUES,LONGUES (>= MASTER),DROIT ET SCIENCES POLITIQUES,UNIVERSITÉ,FRANCE,12-17,FÉMININ,LICENCE,PRÉSENTIEL,OUI,MATHÉMATIQUES,SCIENCES ÉCONOMIQUES ET SOCIALES,HISTOIRE-GÉOGRAPHIE ( HGGSP ),FRANÇAIS,JOURNALISME
SCIENTIFIQUE (ÉQUIVALENT),PASSABLE,PHYSIQUE-CHIMIE,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,FRANCE,12-17,MASCULIN,MASTER,HYBRIDES,OUI,PHYSIQUE-CHIMIE (PC),PAS DE SPÉ,SCIENCES DE LA VIE ET DE LA TERRE (SVT),NON RENSEIGNÉ,NON RENSEIGNÉ
SCIENTIFIQUE (ÉQUIVALENT),TRÈS-BIEN,PREPA PTSI,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,CLASSE PRÉPARATOIRE,FRANCE,12-17,MASCULIN,MASTER,PRÉSENTIEL,OUI,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),NON RENSEIGNÉ
SCIENTIFIQUE (ÉQUIVALENT),BIEN,DÉVELOPPEMENT WEB,COURTES ( < MASTER),SCIENCES ET TECHNOLOGIES,DUT,FRANCE,12-17,MASCULIN,MASTER,PRÉSENTIEL,OUI,SCIENCES DE LA VIE ET DE LA TERRE (SVT),NUMÉRIQUES ET SCIENCES INFORMATIQUES,MATHÉMATIQUES,SCIENCES DE LA VIE ET DE LA TERRE (SVT),DÉVELOPPEMENT DE LOGICIELS
LITTÉRAIRE (ÉQUIVALENT),PASSABLE,ÉTUDES THÉÂTRALES,COURTES ( < MASTER),ARTS,UNIVERSITÉ,FRANCE,12-17,MASCULIN,LICENCE,PRÉSENTIEL,OUI,MATHÉMATIQUES,HUMANITÉS,ART,FRANÇAIS,COMÉDIEN
